threshold,precision_declined,recall_declined,f1_declined,balanced_accuracy,tp,fp,fn,tn
0.53,0.2246376811594203,0.45588235294117646,0.30097087378640774,0.5809631544925663,31,107,37,257
0.54,0.22627737226277372,0.45588235294117646,0.3024390243902439,0.5823367808661927,31,106,37,258
0.55,0.24166666666666667,0.4264705882352941,0.30851063829787234,0.5882352941176471,29,91,39,273
0.56,0.2413793103448276,0.4117647058823529,0.30434782608695654,0.5850032320620555,28,88,40,276
0.57,0.22727272727272727,0.36764705882352944,0.2808988764044944,0.5670652876535229,25,85,43,279
0.58,0.24509803921568626,0.36764705882352944,0.29411764705882354,0.5780542986425339,25,77,43,287
0.59,0.24742268041237114,0.35294117647058826,0.2909090909090909,0.5761958629605689,24,73,44,291
0.6,0.25609756097560976,0.3088235294117647,0.28,0.5706205559146735,21,61,47,303
0.61,0.2625,0.3088235294117647,0.28378378378378377,0.5733678086619263,21,59,47,305
0.62,0.28,0.3088235294117647,0.2937062937062937,0.5802359405300581,21,54,47,310
0.63,0.2857142857142857,0.29411764705882354,0.2898550724637681,0.5783775048480931,20,50,48,314
0.64,0.2923076923076923,0.27941176470588236,0.2857142857142857,0.5765190691661279,19,46,49,318
0.65,0.3114754098360656,0.27941176470588236,0.29457364341085274,0.5820135746606334,19,42,49,322
0.66,0.32142857142857145,0.2647058823529412,0.2903225806451613,0.5801551389786684,18,38,50,326
0.67,0.34615384615384615,0.2647058823529412,0.3,0.5856496444731739,18,34,50,330
0.68,0.37777777777777777,0.25,0.3008849557522124,0.5865384615384616,17,28,51,336
0.69,0.37209302325581395,0.23529411764705882,0.2882882882882883,0.5805591467356174,16,27,52,337
0.7,0.36585365853658536,0.22058823529411764,0.27522935779816515,0.5745798319327731,15,26,53,338
0.71,0.3684210526315789,0.20588235294117646,0.2641509433962264,0.5699741435035552,14,24,54,340
0.72,0.36363636363636365,0.17647058823529413,0.2376237623762376,0.5593891402714932,12,21,56,343
0.73,0.3870967741935484,0.17647058823529413,0.24242424242424243,0.562136393018746,12,19,56,345
0.74,0.42857142857142855,0.17647058823529413,0.25,0.5662572721396251,12,16,56,348
0.75,0.4444444444444444,0.17647058823529413,0.25263157894736843,0.5676308985132514,12,15,56,349
0.76,0.4782608695652174,0.16176470588235295,0.24175824175824176,0.56439883645766,11,12,57,352
0.77,0.5,0.14705882352941177,0.22727272727272727,0.5597931480284422,10,10,58,354
0.78,0.6,0.1323529411764706,0.21686746987951808,0.5579347123464771,9,6,59,358
0.79,0.6666666666666666,0.11764705882352941,0.2,0.5533290239172592,8,4,60,360
0.8,0.6,0.08823529411764706,0.15384615384615385,0.538623141564318,6,4,62,360
0.81,0.6666666666666666,0.08823529411764706,0.15584415584415584,0.5399967679379444,6,3,62,361
0.82,0.7142857142857143,0.07352941176470588,0.13333333333333333,0.5340174531351002,5,2,63,362
0.83,0.7142857142857143,0.07352941176470588,0.13333333333333333,0.5340174531351002,5,2,63,362
0.84,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.85,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.86,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.87,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.88,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.89,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.9,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.91,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.92,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.93,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.94,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.95,0.0,0.0,0.0,0.5,0,0,68,364
